is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,retweet count,reply count,like count,quote count
0,2022-12-12 17:43:05+00:00,Sprout Social,False,en,1,1,0,0,0,0.07873376623376624,1305,2048,8823,116
0,2022-12-10 23:37:00+00:00,Sprout Social,False,en,1,0,0,0,0,-0.05,1665,2972,9659,134
0,2022-12-10 19:15:01+00:00,Sprout Social,False,en,1,0,0,0,0,-0.06666666666666667,1278,1765,7096,86
0,2022-12-10 00:08:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.15625,1729,3020,9115,148
0,2022-12-09 18:35:01+00:00,Sprout Social,False,en,1,0,0,0,0,0.5,1366,3077,9462,157
0,2022-12-08 17:29:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.0,1808,6195,13514,256
0,2022-12-06 14:30:05+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,1403,1866,7243,93
0,2022-12-04 23:15:10+00:00,Sprout Social,False,en,1,1,0,0,0,0.375,1449,2331,9656,97
0,2022-12-02 19:20:01+00:00,Sprout Social,False,en,1,0,0,0,0,0.05,2918,11267,18592,473
0,2022-12-02 14:57:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.03333333333333333,2468,2498,11366,134
0,2022-12-02 02:19:04+00:00,Twitter Web App,False,en,1,1,0,0,0,0.35,222,250,1323,14
0,2022-12-02 02:19:03+00:00,Twitter Web App,False,en,1,1,0,0,0,-0.2916666666666667,1266,1234,5737,113
0,2022-12-01 23:24:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.18,2243,5638,11621,234
0,2022-12-01 00:54:00+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,1603,2805,6207,113
0,2022-11-30 16:21:01+00:00,Sprout Social,False,en,1,0,0,0,0,0.13636363636363635,2151,5907,11072,213
0,2022-11-30 01:39:00+00:00,Sprout Social,False,en,1,1,0,0,0,0.05,1517,1122,5200,58
0,2022-11-29 23:59:05+00:00,Sprout Social,False,en,1,1,0,0,0,0.11481481481481481,1788,6529,10245,324
0,2022-11-27 23:12:00+00:00,Sprout Social,False,en,1,1,0,0,0,0.05,2675,2594,9328,122
0,2022-11-26 23:21:00+00:00,Sprout Social,False,en,1,1,0,0,0,0.8,2897,2448,10582,144
0,2022-11-26 17:03:05+00:00,Sprout Social,False,en,1,1,0,0,0,-0.13333333333333333,2458,4113,16025,277
0,2022-11-24 15:00:34+00:00,Sprout Social,False,en,1,0,0,0,0,0.32857142857142857,3692,3585,24105,201
0,2022-11-22 16:00:25+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,1643,2842,19034,278
0,2022-11-21 22:29:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.16666666666666666,11826,12166,77303,1115
0,2022-11-18 17:22:01+00:00,Sprout Social,False,en,1,0,0,0,0,0.3444444444444444,2254,4686,10439,174
0,2022-11-16 02:20:35+00:00,Sprout Social,False,en,1,1,0,0,0,-0.5,40250,50786,171951,7541
0,2022-11-15 21:30:02+00:00,Sprout Social,False,en,1,0,0,0,0,0.4375,4439,3359,23104,216
0,2022-11-15 18:19:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.43333333333333335,2276,1525,11376,97
0,2022-11-15 15:05:04+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,18656,15252,91412,2118
0,2022-11-14 22:45:02+00:00,Sprout Social,False,en,1,0,0,0,0,0.10666666666666666,4744,6261,24788,311
0,2022-11-12 22:56:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.33999999999999997,6055,9926,32131,578
0,2022-11-12 18:57:05+00:00,Sprout Social,False,en,1,1,0,0,0,0.611111111111111,6076,5448,40132,408
0,2022-11-11 20:00:10+00:00,Sprout Social,False,en,1,0,0,0,0,0.19642857142857142,4927,8254,24909,461
0,2022-11-11 14:50:25+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,2712,1295,10916,130
0,2022-11-10 20:43:24+00:00,Twitter Web App,False,en,1,0,0,0,0,0.03333333333333333,5904,3970,34790,302
0,2022-11-10 20:36:09+00:00,Twitter Web App,False,en,1,0,0,0,0,0.611111111111111,4271,5034,33218,290
0,2022-11-10 20:24:33+00:00,Twitter Web App,False,en,1,1,0,0,0,0.13636363636363635,576,470,2744,34
0,2022-11-10 16:51:01+00:00,Sprout Social,False,en,1,0,0,0,0,-0.024999999999999994,7911,10353,68106,980
0,2022-11-10 03:50:25+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,8527,2153,39702,296
0,2022-11-10 00:52:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.03333333333333333,11386,6625,77823,604
0,2022-11-09 22:35:01+00:00,Sprout Social,False,en,1,0,0,0,0,0.35,5350,4377,35991,333
0,2022-11-08 23:15:02+00:00,Sprout Social,False,en,1,0,0,0,0,0.21428571428571427,7649,3178,39128,285
0,2022-11-08 22:00:10+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,868,694,3812,35
0,2022-11-08 21:00:10+00:00,Sprout Social,False,en,1,0,0,0,0,0.2396825396825397,5618,5259,24805,346
0,2022-11-08 18:00:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.25,1155,1869,4833,94
0,2022-11-08 17:00:24+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,5789,1500,11419,165
0,2022-11-08 16:02:14+00:00,Sprout Social,False,en,1,1,0,0,0,0.4,1690,2168,7257,114
0,2022-11-08 14:00:35+00:00,Twitter Web App,False,en,1,1,0,0,0,0.0,1871,1228,5878,99
0,2022-11-08 13:00:21+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,1459,1274,5573,95
0,2022-11-08 12:00:13+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,3490,2281,11147,181
0,2022-11-07 23:50:42+00:00,Twitter Web App,False,en,1,1,0,0,0,-0.2916666666666667,961,1559,3766,70
0,2022-11-07 23:14:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.044642857142857144,7762,7946,39423,661
0,2022-11-07 22:47:01+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,1520,2263,5274,124
0,2022-11-07 21:23:01+00:00,Sprout Social,False,en,1,1,0,0,0,0.32222222222222224,1371,1804,5220,61
0,2022-11-07 20:02:04+00:00,Sprout Social,False,en,1,1,0,0,0,0.13636363636363635,943,1149,3836,77
0,2022-11-07 17:30:07+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,2018,1825,7230,143
0,2022-11-07 16:00:02+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,11210,13218,49187,1466
0,2022-11-07 02:30:00+00:00,Sprout Social,False,en,1,0,0,0,0,0.5285714285714286,5998,7691,23044,485
0,2022-11-07 01:05:07+00:00,Sprout Social,False,en,1,0,0,0,0,0.2,3799,4156,17436,298
0,2022-11-07 00:06:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,2574,2916,9805,183
0,2022-11-06 23:18:14+00:00,Twitter Web App,False,en,1,1,0,0,0,0.1516883116883117,848,912,3549,51
0,2022-11-06 22:33:02+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,1413,1560,5585,72
0,2022-11-06 21:30:17+00:00,Sprout Social,False,en,1,1,0,0,0,0.16666666666666666,4761,4441,25315,355
0,2022-11-06 20:45:03+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,1671,2400,6060,121
0,2022-11-06 16:00:02+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.03333333333333333,2995,2320,7889,225
0,2022-11-06 01:48:09+00:00,Sprout Social,False,en,1,1,0,0,0,0.06666666666666667,3601,3089,14737,192
0,2022-11-06 01:20:02+00:00,Sprout Social,False,en,1,0,0,0,0,0.09523809523809523,6703,11761,22671,727
0,2022-11-06 00:00:08+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,12286,7333,50448,1106
0,2022-11-05 21:16:53+00:00,Sprout Social,False,en,1,1,0,0,0,0.875,1448,1640,6467,87
0,2022-11-05 20:00:01+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,2371,2529,7645,163
0,2022-11-05 18:59:59+00:00,Twitter Web App,False,en,1,1,0,0,0,0.0,1640,1349,6273,95
0,2022-11-05 17:00:35+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,3186,5449,11473,438
0,2022-11-05 14:37:07+00:00,Sprout Social,False,cy,1,1,0,0,0,0.0,2300,3396,11173,269
0,2022-11-05 13:47:01+00:00,Sprout Social,False,en,1,1,0,0,0,0.5,1183,1909,4826,109
0,2022-11-05 01:30:02+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,6652,12591,16882,806
0,2022-11-05 00:00:25+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,3659,8863,16528,524
0,2022-11-04 22:30:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,1389,2505,4429,145
0,2022-11-04 21:00:35+00:00,Sprout Social,False,en,1,1,0,0,0,0.4666666666666666,4554,1967,12636,264
0,2022-11-04 19:32:01+00:00,Sprout Social,False,en,1,0,0,0,0,0.3111111111111111,2580,2184,9709,147
0,2022-11-04 18:20:03+00:00,Sprout Social,False,en,1,1,0,0,0,0.39285714285714285,555,819,2546,35
0,2022-11-04 17:00:20+00:00,Sprout Social,False,en,1,1,0,0,0,0.35,1194,2431,5245,135
0,2022-11-04 16:00:02+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.25,2045,3520,7511,181
0,2022-11-04 15:06:04+00:00,Sprout Social,False,en,1,1,0,0,0,0.018181818181818174,1027,804,4852,50
0,2022-11-04 14:00:40+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,9082,7414,25093,647
0,2022-11-04 02:55:07+00:00,Sprout Social,False,en,1,1,0,0,0,0.08884078884078883,1331,1645,5746,88
0,2022-11-04 01:30:03+00:00,Sprout Social,False,en,1,1,0,0,0,0.0,19032,18016,66260,1672
0,2022-11-03 23:00:07+00:00,Sprout Social,False,en,1,0,0,0,0,0.65,14176,21907,89935,2373
0,2022-11-03 21:36:32+00:00,Sprout Social,False,en,1,1,0,0,0,0.2556818181818182,533,637,2394,25
